"Method Name","Cyclomatic Complexity","Number Of Arguments","Variable Declarations","Variable References","Max depth of nesting","Halstead Length","Halstead Vocabulary","Halstead Volume","Halstead Difficulty","Halstead Effort","Halstead Bugs","Total depth of nesting","Number Of Casts","Number of loops","Number Of Operators","Number Of Operands","Class References","External Methods","Local Methods","Exceptions Referenced","Exceptions Thrown","Modifiers","Lines Of Code"
"com/fasterxml/aalto/async/AsyncByteArrayScanner.handleXmlDeclaration:()I","95","0","11","3","4","1446","110","9805.84614575666","144.0","1412041.844988959","3.2686153819188863","5","5","48","840","606","char[]","throwInternal parseNewName reportPrologUnexpChar asyncSkipSpace decodeCharForError verifyAndSetXmlStandalone verifyAndSetXmlVersion verifyAndSetXmlEncoding reportInputProblem handlePartialCR parseXmlDeclAttr parsePName","getBufferWithoutReset resetWithEmpty getPrefixedName getCurrentLength toString <init> hasPrefixedName append","XMLStreamException","","private","188"
"com/fasterxml/aalto/async/AsyncByteArrayScanner.handleDTD:()I","72","0","14","6","4","1164","104","7799.31183191623","102.0","795529.8068554555","2.5997706106387435","13","2","27","701","463","String char[] PName","handleDTDInternalSubset verifyAndSetSystemId throwInternal parseNewName reportPrologUnexpChar asyncSkipSpace reportPrologProblem decodeCharForError verifyAndSetPublicId parseDtdId handlePartialCR parsePName","getBufferWithoutReset resetWithEmpty getPrefixedName equals getCurrentLength toString <init> append","XMLStreamException","","private","149"
"com/fasterxml/aalto/async/AsyncByteArrayScanner.parseDtdId:([CIZ)Z","6","3","5","1","0","132","54","759.6451502855779","28.0","21270.06420799618","0.25321505009519263","0","1","1","76","56","char[]","validPublicIdChar reportPrologUnexpChar decodeCharForError","finishCurrentSegment setCurrentLength toString <init> append","XMLStreamException","","private final","15"
"com/fasterxml/aalto/async/AsyncByteArrayScanner.parseXmlDeclAttr:([CI)Z","5","2","4","1","0","112","45","615.0875467889235","26.0","15992.276216512011","0.2050291822629745","0","0","1","66","46","char[]","reportPrologUnexpChar decodeCharForError","finishCurrentSegment setCurrentLength","XMLStreamException","","private","15"
"com/fasterxml/aalto/async/AsyncByteArrayScanner.handleCData:()I","1","0","0","0","0","43","22","191.75555960140377","14.0","2684.577834419653","0.0639185198671346","0","0","0","27","16","","parseCDataContents handleCDataStartMarker","","XMLStreamException","","private","5"
"com/fasterxml/aalto/async/AsyncByteArrayScanner.handleCDataStartMarker:(B)I","12","1","1","0","0","314","48","1753.6782252264434","60.0","105220.69351358661","0.5845594084088145","0","0","0","184","130","","throwInternal parseCDataContents decodeCharForError reportTreeUnexpChar","resetWithEmpty","XMLStreamException","","private","39"
"com/fasterxml/aalto/async/AsyncByteArrayScanner.handlePI:()I","14","0","2","0","0","367","56","2131.2992563951407","75.0","159847.44422963556","0.7104330854650469","0","0","2","224","143","","throwInternal parseNewName asyncSkipSpace parsePIData decodeCharForError reportMissingPISpace checkPITargetName parsePName","resetWithEmpty","XMLStreamException","","private","50"
"com/fasterxml/aalto/async/AsyncByteArrayScanner.handleComment:()I","3","0","1","0","0","111","40","590.7340185324972","22.0","12996.148407714938","0.1969113395108324","0","0","0","66","45","","throwInternal decodeCharForError reportTreeUnexpChar parseCommentContents reportDoubleHyphenInComments","resetWithEmpty","XMLStreamException","","private final","18"
"com/fasterxml/aalto/async/AsyncByteArrayScanner.asyncSkipSpace:()Z","9","0","1","0","1","129","35","661.6775091859007","33.0","21835.357803134724","0.22055916972863357","1","0","1","79","50","","throwInvalidSpace markLF","","XMLStreamException","","private","21"
"com/fasterxml/aalto/async/AsyncByteArrayScanner.handleEntityStartingToken:()I","2","0","3","1","0","153","52","872.1672768755872","26.0","22676.349198765267","0.29072242562519574","0","0","0","89","64","PName","decodeGeneralEntity handleNumericEntityStartingToken finishCharacters parseNewEntityName","resetWithEmpty resetWithChar","XMLStreamException","","protected","24"
"com/fasterxml/aalto/async/AsyncByteArrayScanner.handleNamedEntityStartingToken:()I","2","0","2","1","0","78","32","390.0","18.0","7020.0","0.13","0","0","0","45","33","PName","decodeGeneralEntity parseEntityName finishCharacters","resetWithChar","XMLStreamException","","protected","14"
"com/fasterxml/aalto/async/AsyncByteArrayScanner.handleNumericEntityStartingToken:()I","5","0","1","0","0","119","40","633.3094432915962","20.0","12666.188865831922","0.21110314776386538","0","0","0","70","49","","decodeDecEntity finishCharacters verifyAndAppendEntityCharacter decodeHexEntity","","XMLStreamException","","protected","20"
"com/fasterxml/aalto/async/AsyncByteArrayScanner.decodeHexEntity:()Z","9","0","3","0","0","148","46","817.4871694964379","24.0","19619.69206791451","0.2724957231654793","0","0","1","87","61","","throwUnexpectedChar decodeCharForError reportEntityOverflow","","XMLStreamException","","protected final","21"
