"Method Name","Cyclomatic Complexity","Number Of Arguments","Variable Declarations","Variable References","Max depth of nesting","Halstead Length","Halstead Vocabulary","Halstead Volume","Halstead Difficulty","Halstead Effort","Halstead Bugs","Total depth of nesting","Number Of Casts","Number of loops","Number Of Operators","Number Of Operands","Class References","External Methods","Local Methods","Exceptions Referenced","Exceptions Thrown","Modifiers","Lines Of Code"
"org/asteriskjava/config/Category.toString:()Ljava/lang/String;","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","","","","public","1"
"org/asteriskjava/config/ConfigDirective.<init>:()V","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","<init>","","","protected","2"
"org/asteriskjava/config/ConfigDirective.<init>:(Ljava/lang/String;I)V","1","2","2","1","0","9","8","27.0","2.0","54.0","0.009","0","0","0","5","4","String","","<init>","","","protected","2"
"org/asteriskjava/config/ConfigElement.<init>:()V","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","<init>","","","protected","2"
"org/asteriskjava/config/ConfigElement.<init>:(Ljava/lang/String;I)V","1","2","2","1","0","17","11","58.81033751683406","2.0","117.62067503366812","0.019603445838944685","0","0","0","9","8","String","","<init>","","","protected","4"
"org/asteriskjava/config/ConfigElement.getFileName:()Ljava/lang/String;","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","","","","public","1"
"org/asteriskjava/config/ConfigElement.setFileName:(Ljava/lang/String;)V","1","1","1","1","0","7","6","18.094737505048094","1.0","18.094737505048094","0.006031579168349364","0","0","0","4","3","String","","","","","public","2"
"org/asteriskjava/config/ConfigElement.getLineNumber:()I","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","","","","public","1"
"org/asteriskjava/config/ConfigElement.setLineNumber:(I)V","1","1","1","0","0","7","7","19.651484454403228","2.0","39.302968908806456","0.00655049481813441","0","0","0","4","3","","","","","","","2"
"org/asteriskjava/config/ConfigElement.getPreComment:()Ljava/lang/String;","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","","","","public","1"
"org/asteriskjava/config/ConfigElement.setPreComment:(Ljava/lang/String;)V","1","1","1","1","0","7","6","18.094737505048094","1.0","18.094737505048094","0.006031579168349364","0","0","0","4","3","String","","","","","public","2"
"org/asteriskjava/config/ConfigElement.getComment:()Ljava/lang/String;","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","","","","public","1"
"org/asteriskjava/config/ConfigElement.setComment:(Ljava/lang/String;)V","1","1","1","1","0","7","6","18.094737505048094","1.0","18.094737505048094","0.006031579168349364","0","0","0","4","3","String","","","","","public","2"
"org/asteriskjava/config/ConfigElement.format:(Ljava/lang/StringBuilder;)Ljava/lang/StringBuilder;","5","1","1","1","0","55","15","214.87898275846854","9.0","1933.9108448262168","0.07162632758615618","0","0","0","31","24","StringBuilder","rawFormat","length append","","","protected","6"
