"Method Name","Cyclomatic Complexity","Number Of Arguments","Variable Declarations","Variable References","Max depth of nesting","Halstead Length","Halstead Vocabulary","Halstead Volume","Halstead Difficulty","Halstead Effort","Halstead Bugs","Total depth of nesting","Number Of Casts","Number of loops","Number Of Operators","Number Of Operands","Class References","External Methods","Local Methods","Exceptions Referenced","Exceptions Thrown","Modifiers","Lines Of Code"
"au/com/ds/ef/RunSingleTest$16.call:(Lau/com/ds/ef/StatefulContext;)V","1","1","1","1","0","17","16","68.0","4.0","272.0","0.02266666666666667","0","0","0","10","7","StatefulContext","","add valueOf trigger","Exception","","public","3"
"au/com/ds/ef/RunSingleTest$17.<init>:(Lau/com/ds/ef/RunSingleTest;)V","1","1","1","1","0","11","8","33.0","2.0","66.0","0.011","0","0","0","6","5","RunSingleTest","","<init>","","","","1"
"au/com/ds/ef/RunSingleTest$17.call:(Lau/com/ds/ef/StatefulContext;)V","1","1","1","1","0","7","7","19.651484454403228","2.0","39.302968908806456","0.00655049481813441","0","0","0","4","3","StatefulContext","","trigger","Exception","","public","2"
"au/com/ds/ef/RunSingleTest$18.<init>:(Lau/com/ds/ef/RunSingleTest;)V","1","1","1","1","0","11","8","33.0","2.0","66.0","0.011","0","0","0","6","5","RunSingleTest","","<init>","","","","1"
"au/com/ds/ef/RunSingleTest$18.call:(Lau/com/ds/ef/StatefulContext;)V","1","1","1","1","0","7","7","19.651484454403228","2.0","39.302968908806456","0.00655049481813441","0","0","0","4","3","StatefulContext","","trigger","Exception","","public","2"
"au/com/ds/ef/RunSingleTest$19.<init>:(Lau/com/ds/ef/RunSingleTest;)V","1","1","1","1","0","11","8","33.0","2.0","66.0","0.011","0","0","0","6","5","RunSingleTest","","<init>","","","","1"
"au/com/ds/ef/RunSingleTest$19.call:(Lau/com/ds/ef/StatefulContext;)V","1","1","1","1","0","7","7","19.651484454403228","2.0","39.302968908806456","0.00655049481813441","0","0","0","4","3","StatefulContext","","trigger","Exception","","public","2"
"au/com/ds/ef/RunSingleTest$2.<init>:(Lau/com/ds/ef/RunSingleTest;[Ljava/lang/Exception;)V","1","2","1","1","0","17","10","56.472777613085164","2.0","112.94555522617033","0.01882425920436172","0","0","0","9","8","RunSingleTest","","<init>","","","","1"
"au/com/ds/ef/RunSingleTest$2.call:(Lau/com/ds/ef/err/ExecutionError;Lau/com/ds/ef/StatefulContext;)V","1","2","2","2","0","9","8","27.0","2.0","54.0","0.009","0","0","0","6","3","ExecutionError StatefulContext","","","","","public","2"
"au/com/ds/ef/RunSingleTest$20.<init>:(Lau/com/ds/ef/RunSingleTest;)V","1","1","1","1","0","11","8","33.0","2.0","66.0","0.011","0","0","0","6","5","RunSingleTest","","<init>","","","","1"
"au/com/ds/ef/RunSingleTest$20.call:(Lau/com/ds/ef/StatefulContext;)V","1","1","1","1","0","7","7","19.651484454403228","2.0","39.302968908806456","0.00655049481813441","0","0","0","4","3","StatefulContext","","trigger","Exception","","public","2"
"au/com/ds/ef/RunSingleTest$21.<init>:(Lau/com/ds/ef/RunSingleTest;[Z)V","1","2","1","1","0","17","10","56.472777613085164","2.0","112.94555522617033","0.01882425920436172","0","0","0","9","8","RunSingleTest","","<init>","","","","1"
"au/com/ds/ef/RunSingleTest$21.call:(Lau/com/ds/ef/StateEnum;Lau/com/ds/ef/StatefulContext;)V","1","2","2","2","0","8","8","24.0","3.0","72.0","0.008","0","0","0","6","2","StateEnum StatefulContext","","","Exception","","public","2"
"au/com/ds/ef/RunSingleTest$22.<init>:(Lau/com/ds/ef/RunSingleTest;[Z)V","1","2","1","1","0","17","10","56.472777613085164","2.0","112.94555522617033","0.01882425920436172","0","0","0","9","8","RunSingleTest","","<init>","","","","1"
"au/com/ds/ef/RunSingleTest$22.call:(Lau/com/ds/ef/StateEnum;Lau/com/ds/ef/StatefulContext;)V","1","2","2","2","0","8","8","24.0","3.0","72.0","0.008","0","0","0","6","2","StateEnum StatefulContext","","","Exception","","public","2"
"au/com/ds/ef/RunSingleTest$23.<init>:(Lau/com/ds/ef/RunSingleTest;[Z)V","1","2","1","1","0","17","10","56.472777613085164","2.0","112.94555522617033","0.01882425920436172","0","0","0","9","8","RunSingleTest","","<init>","","","","1"
"au/com/ds/ef/RunSingleTest$23.call:(Lau/com/ds/ef/EventEnum;Lau/com/ds/ef/StateEnum;Lau/com/ds/ef/StateEnum;Lau/com/ds/ef/StatefulContext;)V","1","4","4","4","0","8","8","24.0","3.0","72.0","0.008","0","0","0","6","2","EventEnum StateEnum StatefulContext","","","Exception","","public","2"
"au/com/ds/ef/RunSingleTest$3.<init>:(Lau/com/ds/ef/RunSingleTest;Ljava/util/List;)V","1","2","1","1","0","17","10","56.472777613085164","2.0","112.94555522617033","0.01882425920436172","0","0","0","9","8","RunSingleTest","","<init>","","","","1"
"au/com/ds/ef/RunSingleTest$3.call:(Lau/com/ds/ef/StateEnum;Lau/com/ds/ef/StatefulContext;)V","1","2","2","2","0","12","12","43.01955000865388","3.0","129.05865002596164","0.014339850002884626","0","0","0","7","5","StateEnum StatefulContext","","add valueOf","","","public","2"
"au/com/ds/ef/RunSingleTest$4.<init>:(Lau/com/ds/ef/RunSingleTest;)V","1","1","1","1","0","11","8","33.0","2.0","66.0","0.011","0","0","0","6","5","RunSingleTest","","<init>","","","","1"
"au/com/ds/ef/RunSingleTest$4.call:(Lau/com/ds/ef/StatefulContext;)V","1","1","1","1","0","7","7","19.651484454403228","2.0","39.302968908806456","0.00655049481813441","0","1","0","4","3","StatefulContext","","<init>","","RuntimeException","public","1"
"au/com/ds/ef/RunSingleTest$5.<init>:(Lau/com/ds/ef/RunSingleTest;Ljava/util/List;)V","1","2","1","1","0","17","10","56.472777613085164","2.0","112.94555522617033","0.01882425920436172","0","0","0","9","8","RunSingleTest","","<init>","","","","1"
"au/com/ds/ef/RunSingleTest$5.call:(Lau/com/ds/ef/StatefulContext;)V","1","1","1","1","0","11","11","38.053747805010275","3.0","114.16124341503082","0.012684582601670092","0","0","0","7","4","StatefulContext","","add valueOf","","","public","2"
"au/com/ds/ef/RunSingleTest$6.<init>:(Lau/com/ds/ef/RunSingleTest;Ljava/util/List;)V","1","2","1","1","0","17","10","56.472777613085164","2.0","112.94555522617033","0.01882425920436172","0","0","0","9","8","RunSingleTest","","<init>","","","","1"
"au/com/ds/ef/RunSingleTest$6.call:(Lau/com/ds/ef/StatefulContext;)V","1","1","1","1","0","11","11","38.053747805010275","3.0","114.16124341503082","0.012684582601670092","0","0","0","7","4","StatefulContext","","add valueOf","","","public","2"
"au/com/ds/ef/RunSingleTest$7.<init>:(Lau/com/ds/ef/RunSingleTest;Ljava/util/List;)V","1","2","1","1","0","17","10","56.472777613085164","2.0","112.94555522617033","0.01882425920436172","0","0","0","9","8","RunSingleTest","","<init>","","","","1"
"au/com/ds/ef/RunSingleTest$7.call:(Lau/com/ds/ef/StatefulContext;)V","1","1","1","1","0","17","16","68.0","4.0","272.0","0.02266666666666667","0","0","0","10","7","StatefulContext","","add valueOf trigger","Exception","","public","3"
"au/com/ds/ef/RunSingleTest$8.<init>:(Lau/com/ds/ef/RunSingleTest;Ljava/util/List;)V","1","2","1","1","0","17","10","56.472777613085164","2.0","112.94555522617033","0.01882425920436172","0","0","0","9","8","RunSingleTest","","<init>","","","","1"
"au/com/ds/ef/RunSingleTest$8.call:(Lau/com/ds/ef/StatefulContext;)V","1","1","1","1","0","11","11","38.053747805010275","3.0","114.16124341503082","0.012684582601670092","0","0","0","7","4","StatefulContext","","add valueOf","","","public","2"
"au/com/ds/ef/RunSingleTest$9.<init>:(Lau/com/ds/ef/RunSingleTest;Ljava/util/List;)V","1","2","1","1","0","17","10","56.472777613085164","2.0","112.94555522617033","0.01882425920436172","0","0","0","9","8","RunSingleTest","","<init>","","","","1"
"au/com/ds/ef/RunSingleTest$9.call:(Lau/com/ds/ef/StatefulContext;)V","1","1","1","1","0","17","16","68.0","4.0","272.0","0.02266666666666667","0","0","0","10","7","StatefulContext","","add valueOf trigger","Exception","","public","3"
"au/com/ds/ef/RunSingleTest$Events.values:()[Lau/com/ds/ef/RunSingleTest$Events;","1","0","0","0","0","7","7","19.651484454403228","2.0","39.302968908806456","0.00655049481813441","0","1","0","4","3","","","clone","","","public static","1"
"au/com/ds/ef/RunSingleTest$Events.valueOf:(Ljava/lang/String;)Lau/com/ds/ef/RunSingleTest$Events;","1","1","1","1","0","8","8","24.0","2.0","48.0","0.008","0","1","0","4","4","String","","valueOf","","","public static","1"
"au/com/ds/ef/RunSingleTest$Events.<init>:(Ljava/lang/String;I)V","1","2","0","0","0","9","8","27.0","2.0","54.0","0.009","0","0","0","5","4","","","<init>","","","private","1"
"au/com/ds/ef/RunSingleTest$Events.<clinit>:()V","1","0","0","0","0","76","27","361.37145016442366","14.0","5059.2003023019315","0.1204571500548079","0","6","0","49","27","","<init>","","","","static","2"
"au/com/ds/ef/RunSingleTest$States.values:()[Lau/com/ds/ef/RunSingleTest$States;","1","0","0","0","0","7","7","19.651484454403228","2.0","39.302968908806456","0.00655049481813441","0","1","0","4","3","","","clone","","","public static","1"
"au/com/ds/ef/RunSingleTest$States.valueOf:(Ljava/lang/String;)Lau/com/ds/ef/RunSingleTest$States;","1","1","1","1","0","8","8","24.0","2.0","48.0","0.008","0","1","0","4","4","String","","valueOf","","","public static","1"
"au/com/ds/ef/RunSingleTest$States.<init>:(Ljava/lang/String;I)V","1","2","0","0","0","9","8","27.0","2.0","54.0","0.009","0","0","0","5","4","","","<init>","","","private","1"
"au/com/ds/ef/RunSingleTest$States.<clinit>:()V","1","0","0","0","0","76","27","361.37145016442366","14.0","5059.2003023019315","0.1204571500548079","0","6","0","49","27","","<init>","","","","static","2"
"au/com/ds/ef/RunSingleTest.<init>:()V","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","<init>","","","public","1"
"au/com/ds/ef/RunSingleTest.testInvalidEvent:()V","1","0","3","3","0","119","53","681.6225340930207","8.0","5452.980272744166","0.22720751136434023","0","8","0","70","49","Exception[] EasyFlow StatefulContext","","start whenEnter <init> getCause trace assertTrue transit assertNotNull whenError awaitTermination from finish to on","LogicViolationError","Exception","public","17"
"au/com/ds/ef/RunSingleTest.testEventsOrder:()V","2","0","5","4","0","253","85","1621.5759068428388","12.0","19458.910882114065","0.5405253022809463","0","15","1","143","110","EasyFlow Integer List StatefulContext","","next intValue start whenEnter hasNext <init> whenLeave whenFinalState trace iterator transit awaitTermination from finish toString to append on","LogicViolationError","RuntimeException","public","29"
"au/com/ds/ef/RunSingleTest.testEventsOrderTransitionCollection:()V","2","0","6","5","0","265","86","1702.9601599960558","13.0","22138.482079948724","0.5676533866653519","0","18","1","152","113","EasyFlow Integer List StatefulContext","","next intValue start whenEnter hasNext fromTransitions <init> asList whenLeave whenFinalState trace iterator awaitTermination toString append","LogicViolationError","RuntimeException","public","21"
"au/com/ds/ef/RunSingleTest.testEventReuse:()V","1","0","2","2","0","130","46","718.0630542874117","7.0","5026.441380011882","0.23935435142913722","0","6","0","76","54","EasyFlow StatefulContext","","trace getState transit start awaitTermination from finish whenEnter assertEquals to <init> on","","","public","18"
"au/com/ds/ef/RunSingleTest.testSyncExecutor:()V","1","0","2","2","0","133","48","742.8000125959139","7.0","5199.600088171397","0.24760000419863798","0","7","0","78","55","EasyFlow StatefulContext","","trace getState transit executor start from finish whenEnter assertEquals to <init> on","","","public","20"
"au/com/ds/ef/RunSingleTest.testGlobalHandlers:()V","1","0","6","6","0","201","60","1187.2850097173123","9.0","10685.56508745581","0.3957616699057708","0","8","0","125","76","EasyFlow StatefulContext LogicViolationError boolean[]","","printStackTrace start whenEnter trigger <init> whenLeave trace assertTrue transit executor whenEvent from finish to on","","","public","29"
"au/com/ds/ef/SynchronizationTest$Events.values:()[Lau/com/ds/ef/SynchronizationTest$Events;","1","0","0","0","0","7","7","19.651484454403228","2.0","39.302968908806456","0.00655049481813441","0","1","0","4","3","","","clone","","","public static","1"
"au/com/ds/ef/SynchronizationTest$Events.valueOf:(Ljava/lang/String;)Lau/com/ds/ef/SynchronizationTest$Events;","1","1","1","1","0","8","8","24.0","2.0","48.0","0.008","0","1","0","4","4","String","","valueOf","","","public static","1"
"au/com/ds/ef/SynchronizationTest$Events.<init>:(Ljava/lang/String;I)V","1","2","0","0","0","9","8","27.0","2.0","54.0","0.009","0","0","0","5","4","","","<init>","","","private","1"
"au/com/ds/ef/SynchronizationTest$Events.<clinit>:()V","1","0","0","0","0","34","18","141.7774500490386","5.0","708.8872502451931","0.0472591500163462","0","3","0","22","12","","<init>","","","","static","2"
"au/com/ds/ef/SynchronizationTest$Node$1.<init>:(Lau/com/ds/ef/SynchronizationTest$Node;)V","1","1","1","1","0","11","8","33.0","2.0","66.0","0.011","0","0","0","6","5","SynchronizationTest$Node","","<init>","","","","1"
"au/com/ds/ef/SynchronizationTest$Node$1.call:(Lau/com/ds/ef/StateEnum;Lau/com/ds/ef/StatefulContext;)V","1","2","2","2","0","19","15","74.23092131656186","3.0","222.69276394968557","0.024743640438853954","0","1","0","10","9","StateEnum StatefulContext","","println getThreadName toString <init> append","Exception","","public","2"
"au/com/ds/ef/SynchronizationTest$Node$2.<init>:(Lau/com/ds/ef/SynchronizationTest$Node;)V","1","1","1","1","0","11","8","33.0","2.0","66.0","0.011","0","0","0","6","5","SynchronizationTest$Node","","<init>","","","","1"
"au/com/ds/ef/SynchronizationTest$Node$2.call:(Lau/com/ds/ef/StatefulContext;)V","2","1","2","1","0","58","31","287.3433860024388","7.0","2011.4037020170717","0.0957811286674796","0","2","1","30","28","StatefulContext","","sleep println getThreadName toString trigger <init> append","Exception","","public","7"
