"Method Name","Cyclomatic Complexity","Number Of Arguments","Variable Declarations","Variable References","Max depth of nesting","Halstead Length","Halstead Vocabulary","Halstead Volume","Halstead Difficulty","Halstead Effort","Halstead Bugs","Total depth of nesting","Number Of Casts","Number of loops","Number Of Operators","Number Of Operands","Class References","External Methods","Local Methods","Exceptions Referenced","Exceptions Thrown","Modifiers","Lines Of Code"
"org/mybatis/spring/SqlSessionFactoryBean.setTypeAliasesPackage:(Ljava/lang/String;)V","1","1","1","1","0","7","6","18.094737505048094","1.0","18.094737505048094","0.006031579168349364","0","0","0","4","3","String","","","","","public","2"
"org/mybatis/spring/SqlSessionFactoryBean.setTypeAliasesSuperType:(Ljava/lang/Class;)V","1","1","1","1","0","7","6","18.094737505048094","1.0","18.094737505048094","0.006031579168349364","0","0","0","4","3","Class","","","","","public","2"
"org/mybatis/spring/SqlSessionFactoryBean.setTypeHandlersPackage:(Ljava/lang/String;)V","1","1","1","1","0","7","6","18.094737505048094","1.0","18.094737505048094","0.006031579168349364","0","0","0","4","3","String","","","","","public","2"
"org/mybatis/spring/SqlSessionFactoryBean.setTypeHandlers:([Lorg/apache/ibatis/type/TypeHandler;)V","1","1","1","1","0","7","6","18.094737505048094","1.0","18.094737505048094","0.006031579168349364","0","0","0","4","3","TypeHandler[]","","","","","public","2"
"org/mybatis/spring/SqlSessionFactoryBean.setTypeAliases:([Ljava/lang/Class;)V","1","1","1","1","0","7","6","18.094737505048094","1.0","18.094737505048094","0.006031579168349364","0","0","0","4","3","Class[]","","","","","public","2"
"org/mybatis/spring/SqlSessionFactoryBean.setFailFast:(Z)V","1","1","1","0","0","7","7","19.651484454403228","2.0","39.302968908806456","0.00655049481813441","0","0","0","4","3","","","","","","public","2"
"org/mybatis/spring/SqlSessionFactoryBean.setConfigLocation:(Lorg/springframework/core/io/Resource;)V","1","1","1","1","0","7","6","18.094737505048094","1.0","18.094737505048094","0.006031579168349364","0","0","0","4","3","Resource","","","","","public","2"
"org/mybatis/spring/SqlSessionFactoryBean.setConfiguration:(Lorg/apache/ibatis/session/Configuration;)V","1","1","1","1","0","7","6","18.094737505048094","1.0","18.094737505048094","0.006031579168349364","0","0","0","4","3","Configuration","","","","","public","2"
"org/mybatis/spring/SqlSessionFactoryBean.setMapperLocations:([Lorg/springframework/core/io/Resource;)V","1","1","1","1","0","7","6","18.094737505048094","1.0","18.094737505048094","0.006031579168349364","0","0","0","4","3","Resource[]","","","","","public","2"
"org/mybatis/spring/SqlSessionFactoryBean.setConfigurationProperties:(Ljava/util/Properties;)V","1","1","1","1","0","7","6","18.094737505048094","1.0","18.094737505048094","0.006031579168349364","0","0","0","4","3","Properties","","","","","public","2"
"org/mybatis/spring/SqlSessionFactoryBean.setDataSource:(Ljavax/sql/DataSource;)V","2","1","1","1","0","23","13","85.11011351724513","8.0","680.880908137961","0.028370037839081708","0","2","0","13","10","DataSource","","getTargetDataSource","","","public","4"
"org/mybatis/spring/SqlSessionFactoryBean.setSqlSessionFactoryBuilder:(Lorg/apache/ibatis/session/SqlSessionFactoryBuilder;)V","1","1","1","1","0","7","6","18.094737505048094","1.0","18.094737505048094","0.006031579168349364","0","0","0","4","3","SqlSessionFactoryBuilder","","","","","public","2"
"org/mybatis/spring/SqlSessionFactoryBean.setTransactionFactory:(Lorg/apache/ibatis/transaction/TransactionFactory;)V","1","1","1","1","0","7","6","18.094737505048094","1.0","18.094737505048094","0.006031579168349364","0","0","0","4","3","TransactionFactory","","","","","public","2"
"org/mybatis/spring/SqlSessionFactoryBean.setEnvironment:(Ljava/lang/String;)V","1","1","1","1","0","7","6","18.094737505048094","1.0","18.094737505048094","0.006031579168349364","0","0","0","4","3","String","","","","","public","2"
"org/mybatis/spring/SqlSessionFactoryBean.afterPropertiesSet:()V","5","0","0","0","0","49","23","221.65453584679364","5.0","1108.2726792339681","0.07388484528226455","0","0","0","27","22","","buildSqlSessionFactory","notNull state","Exception","","public","5"
