"Method Name","Cyclomatic Complexity","Number Of Arguments","Variable Declarations","Variable References","Max depth of nesting","Halstead Length","Halstead Vocabulary","Halstead Volume","Halstead Difficulty","Halstead Effort","Halstead Bugs","Total depth of nesting","Number Of Casts","Number of loops","Number Of Operators","Number Of Operands","Class References","External Methods","Local Methods","Exceptions Referenced","Exceptions Thrown","Modifiers","Lines Of Code"
"com/mozilla/util/DateUtilTest$2.see:(J)V","1","1","1","0","0","21","18","87.56842503028855","5.0","437.84212515144276","0.029189475010096184","0","1","0","12","9","","","add format <init>","","","public","2"
"com/mozilla/util/DateUtilTest.<init>:()V","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","<init>","","","public","1"
"com/mozilla/util/DateUtilTest.testTimeAtResolution:()V","1","0","3","2","0","60","25","278.63137138648347","5.0","1393.1568569324172","0.09287712379549448","0","0","0","33","27","Calendar","","set getTimeInMillis assertEquals getInstance getTimeAtResolution","","","public","8"
"com/mozilla/util/DateUtilTest.testEndTimeAtResolution:()V","1","0","3","2","0","64","27","304.312800138462","5.0","1521.5640006923102","0.10143760004615401","0","0","0","33","31","Calendar","","set getTimeInMillis assertEquals getInstance getEndTimeAtResolution","","","public","8"
"com/mozilla/util/DateUtilTest.testTimeDelta:()V","1","0","3","2","0","73","25","339.0015018535549","10.0","3390.0150185355487","0.11300050061785163","0","0","0","38","35","Calendar","","set getTimeInMillis assertEquals getInstance getTimeDelta","","","public","10"
"com/mozilla/util/DateUtilTest.testIterateByDay:()V","2","0","5","4","0","115","52","655.5505675862256","13.0","8522.157378620934","0.2185168558620752","0","3","1","69","46","List String[] Calendar","","iterateByDay set size get getTimeInMillis assertEquals getInstance <init>","","","public","12"
"com/mozilla/util/DateUtilTest.testIterateByHour:()V","2","0","5","4","0","127","54","730.8707127747606","13.0","9501.319266071887","0.2436235709249202","0","3","1","78","49","List String[] Calendar","","set size iterateByTime get getTimeInMillis assertEquals getInstance <init>","","","public","12"
"com/mozilla/util/MultiScanTableMapReduceUtilTest.<init>:()V","1","0","0","0","0","32","18","133.437600046154","4.0","533.750400184616","0.04447920001538466","0","1","0","17","15","","","getInstance <init>","","","public","5"
"com/mozilla/util/MultiScanTableMapReduceUtilTest.setup:()V","1","0","0","0","0","15","15","58.60335893412778","4.0","234.41343573651113","0.019534452978042596","0","1","0","8","7","","","add <init>","","","public","2"
"com/mozilla/util/MultiScanTableMapReduceUtilTest.testMultiScanBytePrefix:()V","1","0","1","1","0","30","17","122.6238852375102","4.0","490.4955409500408","0.040874628412503396","0","0","0","17","13","Scan[]","","assertEquals generateBytePrefixScans","","","public","3"
"com/mozilla/util/MultiScanTableMapReduceUtilTest.testMultiScanHexPrefix:()V","1","0","1","1","0","30","17","122.6238852375102","4.0","490.4955409500408","0.040874628412503396","0","0","0","17","13","Scan[]","","generateHexPrefixScans assertEquals","","","public","3"
"com/mozilla/util/StringUtilTest.<init>:()V","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","<init>","","","public","1"
"com/mozilla/util/StringUtilTest.testJoin:()V","1","0","2","2","0","76","28","365.3589740763779","12.0","4384.307688916535","0.12178632469212596","0","4","0","43","33","String","","assertNull assertEquals join","","","public","9"
