"Method Name","Cyclomatic Complexity","Number Of Arguments","Variable Declarations","Variable References","Max depth of nesting","Halstead Length","Halstead Vocabulary","Halstead Volume","Halstead Difficulty","Halstead Effort","Halstead Bugs","Total depth of nesting","Number Of Casts","Number of loops","Number Of Operators","Number Of Operands","Class References","External Methods","Local Methods","Exceptions Referenced","Exceptions Thrown","Modifiers","Lines Of Code"
"su/litvak/chromecast/api/v2/CastChannel$AuthChallenge$Builder.getSignatureAlgorithm:()Lsu/litvak/chromecast/api/v2/CastChannel$SignatureAlgorithm;","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","","","","public","1"
"su/litvak/chromecast/api/v2/CastChannel$AuthChallenge$Builder.setSignatureAlgorithm:(Lsu/litvak/chromecast/api/v2/CastChannel$SignatureAlgorithm;)Lsu/litvak/chromecast/api/v2/CastChannel$AuthChallenge$Builder;","1","1","1","1","0","27","17","110.36149671375918","5.0","551.8074835687959","0.03678716557125306","0","1","0","17","10","CastChannel$SignatureAlgorithm","","<init>","","NullPointerException","public","5"
"su/litvak/chromecast/api/v2/CastChannel$AuthChallenge$Builder.clearSignatureAlgorithm:()Lsu/litvak/chromecast/api/v2/CastChannel$AuthChallenge$Builder;","1","0","0","0","0","20","12","71.69925001442313","3.0","215.0977500432694","0.02389975000480771","0","0","0","11","9","","","","","","public","3"
"su/litvak/chromecast/api/v2/CastChannel$AuthChallenge$Builder.getDefaultInstanceForType:()Lcom/google/protobuf/GeneratedMessageLite;","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","getDefaultInstanceForType","","","","public volatile","1"
"su/litvak/chromecast/api/v2/CastChannel$AuthChallenge$Builder.mergeFrom:(Lcom/google/protobuf/GeneratedMessageLite;)Lcom/google/protobuf/GeneratedMessageLite$Builder;","1","1","0","0","0","9","8","27.0","2.0","54.0","0.009","0","1","0","5","4","","mergeFrom","","","","public volatile","1"
"su/litvak/chromecast/api/v2/CastChannel$AuthChallenge$Builder.clone:()Lcom/google/protobuf/GeneratedMessageLite$Builder;","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","clone","","","","public volatile","1"
"su/litvak/chromecast/api/v2/CastChannel$AuthChallenge$Builder.clear:()Lcom/google/protobuf/GeneratedMessageLite$Builder;","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","clear","","","","public volatile","1"
"su/litvak/chromecast/api/v2/CastChannel$AuthChallenge$Builder.mergeFrom:(Lcom/google/protobuf/CodedInputStream;Lcom/google/protobuf/ExtensionRegistryLite;)Lcom/google/protobuf/AbstractMessageLite$Builder;","1","2","0","0","0","9","7","25.26619429851844","1.0","25.26619429851844","0.008422064766172813","0","0","0","5","4","","mergeFrom","","IOException","","public volatile","1"
"su/litvak/chromecast/api/v2/CastChannel$AuthChallenge$Builder.clone:()Lcom/google/protobuf/AbstractMessageLite$Builder;","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","clone","","","","public volatile","1"
"su/litvak/chromecast/api/v2/CastChannel$AuthChallenge$Builder.mergeFrom:(Lcom/google/protobuf/CodedInputStream;Lcom/google/protobuf/ExtensionRegistryLite;)Lcom/google/protobuf/MessageLite$Builder;","1","2","0","0","0","9","7","25.26619429851844","1.0","25.26619429851844","0.008422064766172813","0","0","0","5","4","","mergeFrom","","IOException","","public volatile","1"
