"Method Name","Cyclomatic Complexity","Number Of Arguments","Variable Declarations","Variable References","Max depth of nesting","Halstead Length","Halstead Vocabulary","Halstead Volume","Halstead Difficulty","Halstead Effort","Halstead Bugs","Total depth of nesting","Number Of Casts","Number of loops","Number Of Operators","Number Of Operands","Class References","External Methods","Local Methods","Exceptions Referenced","Exceptions Thrown","Modifiers","Lines Of Code"
"net/wouterdanes/docker/maven/AbstractDockerMojo.enqueueForPushing:(Ljava/lang/String;Lnet/wouterdanes/docker/provider/model/ImageBuildConfiguration;)V","1","2","2","2","0","19","11","65.72920075410866","2.0","131.45840150821732","0.021909733584702887","0","0","0","10","9","String ImageBuildConfiguration","enqueueForPushing","ofNullable getRegistry getNameAndTag","MojoFailureException","","protected","2"
"net/wouterdanes/docker/maven/AbstractDockerMojo.enqueueForPushing:(Ljava/lang/String;Ljava/util/Optional;Ljava/util/Optional;)V","1","3","3","3","0","29","14","110.41329273967051","2.0","220.82658547934102","0.0368044309132235","0","1","0","16","13","String Optional","enqueueForPushing enqueueForPushingToRegistry","get isPresent","MojoFailureException","","protected","5"
"net/wouterdanes/docker/maven/AbstractDockerMojo.enqueueForPushingToRegistry:(Ljava/lang/String;Ljava/util/Optional;Ljava/lang/String;)V","1","3","4","4","0","52","29","252.6150117466338","5.0","1263.075058733169","0.0842050039155446","0","2","0","27","25","String Optional","attachTag enqueueForPushing","get of requireNonNull toString <init> orElse append","MojoFailureException","","protected","5"
"net/wouterdanes/docker/maven/AbstractDockerMojo.enqueueForPushing:(Ljava/lang/String;Ljava/util/Optional;)V","2","2","4","4","0","58","34","295.07284479251973","8.0","2360.582758340158","0.09835761493083992","0","2","0","33","25","String Optional List PushableImage","getLog obtainListFromPluginContext","add contains format <init> orElse info","","","protected","6"
"net/wouterdanes/docker/maven/AbstractDockerMojo.getImagesToPush:()Ljava/util/List;","1","0","1","1","0","12","10","39.863137138648355","2.0","79.72627427729671","0.013287712379549451","0","0","0","6","6","List","obtainListFromPluginContext","unmodifiableList","","","protected","2"
"net/wouterdanes/docker/maven/AbstractDockerMojo.attachTag:(Ljava/lang/String;Ljava/lang/String;)V","1","2","4","4","0","62","27","294.8030251341351","6.0","1768.8181508048106","0.0982676750447117","0","2","0","38","24","String DockerException","getDockerProvider getLog handleDockerException","format tagImage info","MojoFailureException","","protected","7"
"net/wouterdanes/docker/maven/AbstractDockerMojo.handleDockerException:(Ljava/lang/String;Lnet/wouterdanes/docker/remoteapi/exception/DockerException;)V","2","2","4","4","0","48","25","222.90509710918678","5.0","1114.5254855459339","0.0743016990363956","0","3","0","26","22","String Optional DockerException","","getApiResponse get isPresent toString <init> append","MojoFailureException","MojoFailureException DockerException ","protected","4"
"net/wouterdanes/docker/maven/AbstractDockerMojo.obtainListFromPluginContext:(Ljava/lang/String;)Ljava/util/List;","1","1","3","3","0","39","21","171.30037948837168","5.0","856.5018974418583","0.05710012649612389","0","2","0","22","17","String Object ArrayList","getPluginContext","get <init> put","","","private","6"
"net/wouterdanes/docker/maven/AbstractDockerMojo.obtainMapFromPluginContext:(Ljava/lang/String;)Ljava/util/Map;","1","1","3","3","0","39","21","171.30037948837168","5.0","856.5018974418583","0.05710012649612389","0","2","0","22","17","String Object Map","getPluginContext","get <init> put","","","private","6"
"net/wouterdanes/docker/maven/AbstractPreVerifyDockerMojo.<init>:()V","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","<init>","","","public","1"
"net/wouterdanes/docker/maven/AbstractPreVerifyDockerMojo.handleDockerException:(Ljava/lang/String;Lnet/wouterdanes/docker/remoteapi/exception/DockerException;)V","2","2","3","3","0","58","31","287.3433860024388","7.0","2011.4037020170717","0.0957811286674796","0","2","0","32","26","String Optional DockerException","getMojoGoalName getLog registerPluginError","getApiResponse get format isPresent error <init> info","","DockerException","protected","6"
"net/wouterdanes/docker/maven/AbstractPreVerifyDockerMojo.getMojoGoalName:()Ljava/lang/String;","2","0","0","0","0","2","2","2.0","0.0","0.0","6.666666666666666E-4","0","0","0","1","1","","","","","","protected abstract","1"
"net/wouterdanes/docker/maven/BuildImageMojo.<init>:()V","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","<init>","","","public","1"
"net/wouterdanes/docker/maven/BuildImageMojo.setImages:(Ljava/util/List;)V","1","1","1","1","0","7","6","18.094737505048094","1.0","18.094737505048094","0.006031579168349364","0","0","0","4","3","List","","","","","public","2"
"net/wouterdanes/docker/maven/BuildImageMojo.doExecute:()V","3","0","4","4","0","121","44","660.591225855113","18.0","11890.642065392032","0.22019707528503765","0","3","1","68","53","String DockerException ImageBuildConfiguration","validateAllImages getDockerProvider registerBuiltImage getLog handleDockerException logImageConfig","next warn buildImage iterator isEmpty format hasNext getId info","MojoExecutionException MojoFailureException","","protected","15"
"net/wouterdanes/docker/maven/BuildImageMojo.logImageConfig:(Lnet/wouterdanes/docker/provider/model/ImageBuildConfiguration;)V","2","1","2","2","0","60","31","297.25177862321254","7.0","2080.762450362488","0.09908392620773751","0","3","0","35","25","StringBuilder ImageBuildConfiguration","getLog","format getId toString <init> getNameAndTag append info","","","private","6"
"net/wouterdanes/docker/maven/BuildImageMojo.validateAllImages:()V","2","0","2","2","0","73","39","385.83436197694414","9.0","3472.509257792497","0.12861145399231472","0","4","1","42","31","ImageBuildConfiguration Set","","next add iterator contains size format hasNext getId <init>","MojoExecutionException","MojoExecutionException","private","9"
"net/wouterdanes/docker/maven/BuildImageMojo.getMojoGoalName:()Ljava/lang/String;","1","0","0","0","0","2","2","2.0","0.0","0.0","6.666666666666666E-4","0","0","0","1","1","","","","","","protected","1"
"net/wouterdanes/docker/maven/CommitContainerMojo.<init>:()V","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","<init>","","","public","1"
"net/wouterdanes/docker/maven/CommitContainerMojo.setConfiguration:(Ljava/util/List;)V","1","1","1","1","0","7","6","18.094737505048094","1.0","18.094737505048094","0.006031579168349364","0","0","0","4","3","List","","","","","public","2"
"net/wouterdanes/docker/maven/CommitContainerMojo.doExecute:()V","3","0","1","1","0","49","23","221.65453584679364","5.0","1108.2726792339681","0.07388484528226455","0","1","1","27","22","ContainerCommitConfiguration","commitContainer getLog","next warn iterator isEmpty hasNext","MojoExecutionException MojoFailureException","","protected","7"
"net/wouterdanes/docker/maven/CommitContainerMojo.commitContainer:(Lnet/wouterdanes/docker/provider/model/ContainerCommitConfiguration;)V","2","1","9","9","0","218","63","1303.0470233229819","18.0","23454.846419813675","0.4343490077743273","0","8","0","122","96","String Optional DockerException ContainerCommitConfiguration ImageBuildConfiguration","getDockerProvider registerBuiltImage getLog getInfoForContainerStartId handleDockerException registerPluginError","isPush format isPresent getId <init> getRepo getTag getContainerInfo setNameAndTag warn setPush commitContainer get setId toString append info","MojoFailureException","","protected","22"
"net/wouterdanes/docker/maven/CommitContainerMojo.getMojoGoalName:()Ljava/lang/String;","1","0","0","0","0","2","2","2.0","0.0","0.0","6.666666666666666E-4","0","0","0","1","1","","","","","","protected","1"
"net/wouterdanes/docker/maven/DockerPluginError.<init>:(Ljava/lang/String;Ljava/lang/String;Lnet/wouterdanes/docker/remoteapi/exception/DockerException;)V","1","3","3","3","0","13","10","43.18506523353572","2.0","86.37013046707143","0.014395021744511906","0","0","0","7","6","String DockerException","<init>","of","","","public","2"
"net/wouterdanes/docker/maven/DockerPluginError.<init>:(Ljava/lang/String;Ljava/lang/String;)V","1","2","2","2","0","11","9","34.86917501586544","2.0","69.73835003173087","0.011623058338621813","0","0","0","6","5","String","<init>","empty","","","public","2"
"net/wouterdanes/docker/maven/DockerPluginError.<init>:(Ljava/lang/String;Ljava/lang/String;Ljava/util/Optional;)V","1","3","3","3","0","23","12","82.4541375165866","2.0","164.9082750331732","0.027484712505528867","0","0","0","12","11","String Optional","","<init>","","","public","5"
"net/wouterdanes/docker/maven/DockerPluginError.getPluginGoal:()Ljava/lang/String;","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","","","","public","1"
"net/wouterdanes/docker/maven/DockerPluginError.getMessage:()Ljava/lang/String;","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","","","","public","1"
"net/wouterdanes/docker/maven/DockerPluginError.getException:()Ljava/util/Optional;","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","","","","public","1"
"net/wouterdanes/docker/maven/HelpMojo.<init>:()V","1","0","0","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","<init>","","","public","1"
"net/wouterdanes/docker/maven/HelpMojo.build:()Lorg/w3c/dom/Document;","0","0","8","8","0","131","36","677.2601751889429","12.0","8127.122102267314","0.22575339172964762","0","5","0","73","58","DocumentBuilder SAXException DocumentBuilderFactory IOException InputStream ParserConfigurationException","getLog","getClass debug newDocumentBuilder getResourceAsStream getMessage newInstance parse <init> close","MojoExecutionException","ParserConfigurationException   IOException   MojoExecutionException   SAXException   ","private","22"
