"Method Name","Cyclomatic Complexity","Number Of Arguments","Variable Declarations","Variable References","Max depth of nesting","Halstead Length","Halstead Vocabulary","Halstead Volume","Halstead Difficulty","Halstead Effort","Halstead Bugs","Total depth of nesting","Number Of Casts","Number of loops","Number Of Operators","Number Of Operands","Class References","External Methods","Local Methods","Exceptions Referenced","Exceptions Thrown","Modifiers","Lines Of Code"
"com/jakewharton/byteunits/BinaryByteUnit$4.toBytes:(J)J","1","1","1","0","0","7","7","19.651484454403228","1.0","19.651484454403228","0.00655049481813441","0","0","0","3","4","","","multiply","","","public","1"
"com/jakewharton/byteunits/BinaryByteUnit$4.toKibibytes:(J)J","1","1","1","0","0","7","7","19.651484454403228","1.0","19.651484454403228","0.00655049481813441","0","0","0","3","4","","","multiply","","","public","1"
"com/jakewharton/byteunits/BinaryByteUnit$4.toMebibytes:(J)J","1","1","1","0","0","7","7","19.651484454403228","1.0","19.651484454403228","0.00655049481813441","0","0","0","3","4","","","multiply","","","public","1"
"com/jakewharton/byteunits/BinaryByteUnit$4.toGibibytes:(J)J","1","1","1","0","0","3","3","4.754887502163469","1.0","4.754887502163469","0.0015849625007211565","0","0","0","2","1","","","","","","public","1"
"com/jakewharton/byteunits/BinaryByteUnit$4.toTebibytes:(J)J","1","1","1","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","","","","public","1"
"com/jakewharton/byteunits/BinaryByteUnit$4.toPebibytes:(J)J","1","1","1","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","","","","public","1"
"com/jakewharton/byteunits/BinaryByteUnit$5.<init>:(Ljava/lang/String;I)V","1","2","0","0","0","10","9","31.699250014423125","2.0","63.39850002884625","0.010566416671474375","0","0","0","6","4","","","<init>","","","","1"
"com/jakewharton/byteunits/BinaryByteUnit$5.convert:(JLcom/jakewharton/byteunits/BinaryByteUnit;)J","1","2","2","1","0","7","7","19.651484454403228","2.0","39.302968908806456","0.00655049481813441","0","0","0","4","3","BinaryByteUnit","","toTebibytes","","","public","1"
"com/jakewharton/byteunits/BinaryByteUnit$5.toBytes:(J)J","1","1","1","0","0","7","7","19.651484454403228","1.0","19.651484454403228","0.00655049481813441","0","0","0","3","4","","","multiply","","","public","1"
"com/jakewharton/byteunits/BinaryByteUnit$5.toKibibytes:(J)J","1","1","1","0","0","7","7","19.651484454403228","1.0","19.651484454403228","0.00655049481813441","0","0","0","3","4","","","multiply","","","public","1"
"com/jakewharton/byteunits/BinaryByteUnit$5.toMebibytes:(J)J","1","1","1","0","0","7","7","19.651484454403228","1.0","19.651484454403228","0.00655049481813441","0","0","0","3","4","","","multiply","","","public","1"
"com/jakewharton/byteunits/BinaryByteUnit$5.toGibibytes:(J)J","1","1","1","0","0","7","7","19.651484454403228","1.0","19.651484454403228","0.00655049481813441","0","0","0","3","4","","","multiply","","","public","1"
"com/jakewharton/byteunits/BinaryByteUnit$5.toTebibytes:(J)J","1","1","1","0","0","3","3","4.754887502163469","1.0","4.754887502163469","0.0015849625007211565","0","0","0","2","1","","","","","","public","1"
"com/jakewharton/byteunits/BinaryByteUnit$5.toPebibytes:(J)J","1","1","1","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","","","","public","1"
"com/jakewharton/byteunits/BinaryByteUnit$6.<init>:(Ljava/lang/String;I)V","1","2","0","0","0","10","9","31.699250014423125","2.0","63.39850002884625","0.010566416671474375","0","0","0","6","4","","","<init>","","","","1"
"com/jakewharton/byteunits/BinaryByteUnit$6.convert:(JLcom/jakewharton/byteunits/BinaryByteUnit;)J","1","2","2","1","0","7","7","19.651484454403228","2.0","39.302968908806456","0.00655049481813441","0","0","0","4","3","BinaryByteUnit","","toPebibytes","","","public","1"
"com/jakewharton/byteunits/BinaryByteUnit$6.toBytes:(J)J","1","1","1","0","0","7","7","19.651484454403228","1.0","19.651484454403228","0.00655049481813441","0","0","0","3","4","","","multiply","","","public","1"
"com/jakewharton/byteunits/BinaryByteUnit$6.toKibibytes:(J)J","1","1","1","0","0","7","7","19.651484454403228","1.0","19.651484454403228","0.00655049481813441","0","0","0","3","4","","","multiply","","","public","1"
"com/jakewharton/byteunits/BinaryByteUnit$6.toMebibytes:(J)J","1","1","1","0","0","7","7","19.651484454403228","1.0","19.651484454403228","0.00655049481813441","0","0","0","3","4","","","multiply","","","public","1"
"com/jakewharton/byteunits/BinaryByteUnit$6.toGibibytes:(J)J","1","1","1","0","0","7","7","19.651484454403228","1.0","19.651484454403228","0.00655049481813441","0","0","0","3","4","","","multiply","","","public","1"
"com/jakewharton/byteunits/BinaryByteUnit$6.toTebibytes:(J)J","1","1","1","0","0","7","7","19.651484454403228","1.0","19.651484454403228","0.00655049481813441","0","0","0","3","4","","","multiply","","","public","1"
"com/jakewharton/byteunits/BinaryByteUnit$6.toPebibytes:(J)J","1","1","1","0","0","3","3","4.754887502163469","1.0","4.754887502163469","0.0015849625007211565","0","0","0","2","1","","","","","","public","1"
"com/jakewharton/byteunits/BinaryByteUnit.values:()[Lcom/jakewharton/byteunits/BinaryByteUnit;","1","0","0","0","0","7","7","19.651484454403228","2.0","39.302968908806456","0.00655049481813441","0","1","0","4","3","","","clone","","","public static","1"
"com/jakewharton/byteunits/BinaryByteUnit.valueOf:(Ljava/lang/String;)Lcom/jakewharton/byteunits/BinaryByteUnit;","1","1","1","1","0","8","8","24.0","2.0","48.0","0.008","0","1","0","4","4","String","","valueOf","","","public static","1"
"com/jakewharton/byteunits/BinaryByteUnit.<init>:(Ljava/lang/String;I)V","1","2","0","0","0","9","8","27.0","2.0","54.0","0.009","0","0","0","5","4","","","<init>","","","private","1"
"com/jakewharton/byteunits/BinaryByteUnit.convert:(JLcom/jakewharton/byteunits/BinaryByteUnit;)J","1","2","2","1","0","6","6","15.509775004326936","2.0","31.019550008653873","0.005169925001442312","0","1","0","4","2","BinaryByteUnit","","<init>","","","public","1"
"com/jakewharton/byteunits/BinaryByteUnit.toKibibytes:(J)J","1","1","1","0","0","6","6","15.509775004326936","2.0","31.019550008653873","0.005169925001442312","0","1","0","4","2","","","<init>","","","public","1"
"com/jakewharton/byteunits/BinaryByteUnit.toMebibytes:(J)J","1","1","1","0","0","6","6","15.509775004326936","2.0","31.019550008653873","0.005169925001442312","0","1","0","4","2","","","<init>","","","public","1"
"com/jakewharton/byteunits/BinaryByteUnit.toGibibytes:(J)J","1","1","1","0","0","6","6","15.509775004326936","2.0","31.019550008653873","0.005169925001442312","0","1","0","4","2","","","<init>","","","public","1"
"com/jakewharton/byteunits/BinaryByteUnit.toTebibytes:(J)J","1","1","1","0","0","6","6","15.509775004326936","2.0","31.019550008653873","0.005169925001442312","0","1","0","4","2","","","<init>","","","public","1"
"com/jakewharton/byteunits/BinaryByteUnit.toPebibytes:(J)J","1","1","1","0","0","6","6","15.509775004326936","2.0","31.019550008653873","0.005169925001442312","0","1","0","4","2","","","<init>","","","public","1"
"com/jakewharton/byteunits/BinaryByteUnit.format:(J)Ljava/lang/String;","1","1","1","0","0","11","11","38.053747805010275","3.0","114.16124341503082","0.012684582601670092","0","1","0","6","5","","format","<init>","","","public static","1"
"com/jakewharton/byteunits/BinaryByteUnit.format:(JLjava/lang/String;)Ljava/lang/String;","1","2","2","1","0","12","12","43.01955000865388","3.0","129.05865002596164","0.014339850002884626","0","1","0","7","5","String","format","<init>","","","public static","1"
"com/jakewharton/byteunits/BinaryByteUnit.format:(JLjava/text/NumberFormat;)Ljava/lang/String;","3","2","4","1","0","83","45","455.823806995363","28.0","12763.066595870163","0.15194126899845434","0","3","1","49","34","NumberFormat","","format toString <init> append","","IllegalArgumentException","public static","8"
"com/jakewharton/byteunits/BinaryByteUnit.<init>:(Ljava/lang/String;ILcom/jakewharton/byteunits/BinaryByteUnit$1;)V","1","3","3","2","0","9","8","27.0","2.0","54.0","0.009","0","0","0","5","4","String BinaryByteUnit$1","<init>","","","","","1"
"com/jakewharton/byteunits/BinaryByteUnit.<clinit>:()V","1","0","0","0","0","121","50","682.9065989627417","7.0","4780.346192739192","0.22763553298758055","0","8","0","79","42","","","<init>","","","static","8"
"com/jakewharton/byteunits/BitUnit$1.<init>:(Ljava/lang/String;I)V","1","2","0","0","0","10","9","31.699250014423125","2.0","63.39850002884625","0.010566416671474375","0","0","0","6","4","","","<init>","","","","1"
"com/jakewharton/byteunits/BitUnit$1.convert:(JLcom/jakewharton/byteunits/BitUnit;)J","1","2","2","1","0","7","7","19.651484454403228","2.0","39.302968908806456","0.00655049481813441","0","0","0","4","3","BitUnit","","toBits","","","public","1"
"com/jakewharton/byteunits/BitUnit$1.toBytes:(J)J","1","1","1","0","0","5","5","11.60964047443681","1.0","11.60964047443681","0.0038698801581456034","0","0","0","3","2","","","","","","public","1"
"com/jakewharton/byteunits/BitUnit$1.toBits:(J)J","1","1","1","0","0","3","3","4.754887502163469","1.0","4.754887502163469","0.0015849625007211565","0","0","0","2","1","","","","","","public","1"
